  -75.5  203.5     0.874     6.191
  -75.5  204.5     0.914     6.476
  -75.5  205.5     0.933     6.607
  -75.5  206.5     0.945     6.693
  -75.5  207.5     0.950     6.732
  -75.5  208.5     0.939     6.655
  -74.5  199.5     0.835     5.940
  -74.5  200.5     0.794     5.651
  -74.5  201.5     0.815     5.804
  -74.5  202.5     0.848     6.037
  -74.5  203.5     0.865     6.160
  -74.5  204.5     0.878     6.248
  -74.5  205.5     0.912     6.488
  -74.5  206.5     0.934     6.649
  -74.5  207.5     0.939     6.687
  -74.5  208.5     0.948     6.746
  -74.5  330.5     0.649     4.618
  -74.5  331.5     0.616     4.385
  -73.5  187.5     0.684     4.891
  -73.5  190.5     0.830     5.940
  -73.5  191.5     0.858     6.139
  -73.5  192.5     0.840     6.012
  -73.5  193.5     0.866     6.195
  -73.5  194.5     0.899     6.434
  -73.5  195.5     0.896     6.409
  -73.5  196.5     0.862     6.167
  -73.5  197.5     0.854     6.111
  -73.5  198.5     0.891     6.374
  -73.5  199.5     0.909     6.502
  -73.5  200.5     0.906     6.483
  -73.5  201.5     0.888     6.349
  -73.5  202.5     0.867     6.202
  -73.5  203.5     0.886     6.337
  -73.5  204.5     0.874     6.251
  -73.5  205.5     0.898     6.422
  -73.5  206.5     0.909     6.504
  -73.5  207.5     0.960     6.867
  -73.5  208.5     0.979     7.000
  -73.5  209.5     0.986     7.051
  -73.5  210.5     0.992     7.093
  -73.5  211.5     1.006     7.194
  -73.5  212.5     1.010     7.224
  -73.5  323.5     0.614     4.389
  -73.5  324.5     0.609     4.358
  -73.5  325.5     0.615     4.400
  -73.5  326.5     0.621     4.441
  -73.5  327.5     0.629     4.502
  -73.5  328.5     0.722     5.164
  -73.5  329.5     0.729     5.216
  -73.5  330.5     0.776     5.554
  -73.5  331.5     0.736     5.268
  -73.5  332.5     0.708     5.061
  -73.5  333.5     0.652     4.664
  -73.5  334.5     0.680     4.863
  -73.5  335.5     0.607     4.342
  -73.5  336.5     0.610     4.363
  -73.5  337.5     0.576     4.119
  -72.5  184.5     0.575     4.134
  -72.5  185.5     0.672     4.833
  -72.5  186.5     0.747     5.375
  -72.5  187.5     0.817     5.878
  -72.5  188.5     0.822     5.913
  -72.5  189.5     0.847     6.091
  -72.5  190.5     0.865     6.223
  -72.5  191.5     0.887     6.376
  -72.5  192.5     0.905     6.511
  -72.5  193.5     0.914     6.575
  -72.5  194.5     0.921     6.625
  -72.5  195.5     0.930     6.690
  -72.5  196.5     0.946     6.802
  -72.5  197.5     0.951     6.840
  -72.5  198.5     0.950     6.834
  -72.5  199.5     0.952     6.844
  -72.5  200.5     0.950     6.830
  -72.5  201.5     0.949     6.824
  -72.5  202.5     0.947     6.812
  -72.5  203.5     0.942     6.778
  -72.5  204.5     0.966     6.950
  -72.5  205.5     0.898     6.456
  -72.5  206.5     0.911     6.554
  -72.5  207.5     0.903     6.491
  -72.5  208.5     0.933     6.709
  -72.5  209.5     0.940     6.761
  -72.5  210.5     0.976     7.019
  -72.5  211.5     0.992     7.137
  -72.5  212.5     1.003     7.214
  -72.5  213.5     1.018     7.320
  -72.5  321.5     0.780     5.611
  -72.5  322.5     0.736     5.293
  -72.5  323.5     0.733     5.273
  -72.5  324.5     0.725     5.212
  -72.5  325.5     0.700     5.032
  -72.5  326.5     0.697     5.013
  -72.5  327.5     0.682     4.903
  -72.5  328.5     0.700     5.036
  -72.5  329.5     0.734     5.276
  -72.5  330.5     0.770     5.534
  -72.5  331.5     0.745     5.355
  -72.5  332.5     0.741     5.328
  -72.5  333.5     0.753     5.416
  -72.5  334.5     0.753     5.415
  -72.5  335.5     0.799     5.743
  -72.5  336.5     0.827     5.950
  -72.5  337.5     0.832     5.983
  -72.5  338.5     0.813     5.846
  -72.5  339.5     0.711     5.113
  -72.5  340.5     0.729     5.243
  -72.5  341.5     0.648     4.663
  -71.5  184.5     0.629     4.551
  -71.5  185.5     0.785     5.675
  -71.5  186.5     0.879     6.361
  -71.5  187.5     0.913     6.600
  -71.5  188.5     0.919     6.644
  -71.5  189.5     0.928     6.709
  -71.5  190.5     0.880     6.367
  -71.5  191.5     0.912     6.593
  -71.5  192.5     0.927     6.706
  -71.5  193.5     0.944     6.829
  -71.5  194.5     0.946     6.845
  -71.5  195.5     0.949     6.866
  -71.5  196.5     0.960     6.943
  -71.5  197.5     0.962     6.960
  -71.5  198.5     0.963     6.966
  -71.5  199.5     0.961     6.950
  -71.5  200.5     0.957     6.919
  -71.5  201.5     0.957     6.924
  -71.5  202.5     0.955     6.905
  -71.5  203.5     0.957     6.925
  -71.5  204.5     0.980     7.086
  -71.5  205.5     0.988     7.143
  -71.5  206.5     0.991     7.166
  -71.5  207.5     0.930     6.726
  -71.5  208.5     0.950     6.870
  -71.5  209.5     0.960     6.943
  -71.5  210.5     0.945     6.831
  -71.5  211.5     0.962     6.954
  -71.5  212.5     0.961     6.947
  -71.5  213.5     0.934     6.753
  -71.5  214.5     0.963     6.963
  -71.5  215.5     0.999     7.222
  -71.5  231.5     0.896     6.480
  -71.5  232.5     0.850     6.148
  -71.5  233.5     0.882     6.378
  -71.5  234.5     0.868     6.275
  -71.5  235.5     0.853     6.169
  -71.5  239.5     0.703     5.082
  -71.5  323.5     0.820     5.930
  -71.5  324.5     0.808     5.843
  -71.5  325.5     0.802     5.800
  -71.5  326.5     0.790     5.713
  -71.5  327.5     0.764     5.523
  -71.5  328.5     0.737     5.333
  -71.5  329.5     0.742     5.368
  -71.5  330.5     0.772     5.583
  -71.5  331.5     0.774     5.598
  -71.5  332.5     0.770     5.568
  -71.5  333.5     0.771     5.580
  -71.5  334.5     0.779     5.637
  -71.5  335.5     0.807     5.838
  -71.5  336.5     0.807     5.835
  -71.5  337.5     0.818     5.913
  -71.5  338.5     0.825     5.968
  -71.5  339.5     0.933     6.751
  -71.5  340.5     0.899     6.504
  -71.5  341.5     0.878     6.348
  -71.5  342.5     0.722     5.222
  -71.5  343.5     0.663     4.798
  -71.5  344.5     0.582     4.210
  -71.5  345.5     0.526     3.807
  -70.5  172.5     0.522     3.800
  -70.5  173.5     0.563     4.099
  -70.5  174.5     0.639     4.649
  -70.5  175.5     0.622     4.526
  -70.5  176.5     0.752     5.473
  -70.5  177.5     0.711     5.170
  -70.5  179.5     0.817     5.945
  -70.5  180.5     0.842     6.123
  -70.5  181.5     0.715     5.201
  -70.5  182.5     0.810     5.896
  -70.5  183.5     0.828     6.027
  -70.5  184.5     0.895     6.514
  -70.5  185.5     0.910     6.619
  -70.5  186.5     0.907     6.599
  -70.5  187.5     0.911     6.625
